phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://prompts.robertdevore.com/about/,content/pages/about.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/about/,200,About the Prompt Library | Prompts by Robert DeVore,51,A practical library of reusable prompts for creative and professional work with AI.,83,About,h1:About > h2:A Better Home for Useful Prompts > h2:What You'll Find Here > h2:On this page,116,en,,,Robert DeVore,false,AboutPage; Person; WebSite,36,15,2,0,0,1,0,0,1,false,true,false,false,b1c078063098b47a3a408cd6c9be42200f4587e880e3d6be1029433699c69854,
baseline,https://prompts.robertdevore.com/business/,content/pages/business.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/business/,200,Business AI Prompts | Prompts by Robert DeVore,46,"Prompts for strategy, operations, planning, analysis, and everyday business work.",81,Business Prompts,h1:Business Prompts,16,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,18,13,2,0,0,1,0,0,1,false,true,false,false,aebf1c7615dd5a652c410190503315f7bccfb54da68475045481861a43c39769,
baseline,https://prompts.robertdevore.com/coding/,content/pages/coding.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/coding/,200,Coding AI Prompts | Prompts by Robert DeVore,44,"Prompts for software design, implementation, debugging, review, and documentation.",82,Coding Prompts,h1:Coding Prompts,15,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,18,13,2,0,0,1,0,0,1,false,true,false,false,2f77de7c29eb920b3d082871e8a61473d28444d85f906fcdb1b245e6568e3cd0,
baseline,https://prompts.robertdevore.com/contact/,content/pages/contact.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/contact/,200,Contact Robert DeVore | Prompts by Robert DeVore,48,"Questions, feedback, or support for the Prompts library.",56,Contact,h1:Contact > h2:Get in Touch > h3:Direct Email > h3:Let's connect > h2:On this page,70,en,,,Robert DeVore,false,ContactPage; Person; WebSite,39,13,3,0,0,1,0,0,1,false,true,false,false,f05fae91f1fb009f4c76a61f49738c66103c442ef790635eb392e10a48c142ac,
baseline,https://prompts.robertdevore.com/images/,content/pages/images.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/images/,200,AI Image Generation Prompts | Prompts by Robert DeVore,54,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",96,Image Prompts,h1:Image Prompts,18,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,18,13,2,0,0,1,0,0,1,false,true,false,false,0a2ee68d352a03aefff1ef1f039447f90a81c08338a4e900200485dd32cdbd1a,
baseline,https://prompts.robertdevore.com/marketing/,content/pages/marketing.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/marketing/,200,Marketing AI Prompts | Prompts by Robert DeVore,47,"Prompts for campaigns, positioning, content, audience research, and growth.",75,Marketing Prompts,h1:Marketing Prompts,15,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,18,13,2,0,0,1,0,0,1,false,true,false,false,af5177a2ee7adbca811a5a2434f08047b84b667f2fde30ad590088c3833518d2,
baseline,https://prompts.robertdevore.com/writing/,content/pages/writing.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/writing/,200,Writing AI Prompts | Prompts by Robert DeVore,45,"Prompts for drafting, editing, storytelling, research, and clearer communication.",81,Writing Prompts,h1:Writing Prompts,15,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,18,13,2,0,0,1,0,0,1,false,true,false,false,da2e9a14908cd562cd7a5b88fec2ee71c5e10542867897ba73b97cf113904596,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,content/posts/glowing-neon-icon-json-prompt.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,Glowing Neon Icons JSON Prompt | Prompts by Robert DeVore,57,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",111,Glowing Neon Icons: Design Bold Icons with This JSON Prompt,h1:Glowing Neon Icons: Design Bold Icons with This JSON Prompt > h2:JSON Prompt > h2:How to Use It > h2:Why It Works > h2:On this page,858,en,2025-05-19,2025-05-19,Robert DeVore,false,BlogPosting; Person; WebPage,6,13,2,0,0,1,0,0,2,false,true,false,false,c7bd77c819b1e677d4383b7a5b24a6b505a84976e5301ed5f8e011fd124b0e74,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,content/posts/isometric-3d-icon-json-prompt-for-ai-generated-designs.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,Isometric 3D Icon JSON Prompt | Prompts by Robert DeVore,56,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",118,Isometric 3D Icon JSON Prompt for AI-Generated Designs,h1:Isometric 3D Icon JSON Prompt for AI-Generated Designs > h2:What This Prompt Can Do > h2:Real-World Subject Mapping > h2:💡 How It Works > h2:📆 Paste This JSON into Your Tool > h2:Example Icons > h2:🛶 Suggested Prompt Format > h2:📂 Save & Reuse > h2:On this page,904,en,2025-05-15,2025-05-15,Robert DeVore,false,BlogPosting; Person; WebPage,6,13,2,0,0,1,0,0,2,false,true,false,false,8b80d14a5da804bc6bc5e0945c8d1eabc04978d1b9cc8ffb50d5fdd55c7a97f3,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,content/posts/metallic-sci-fi-hud.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,Metallic Sci-Fi HUD JSON Prompt | Prompts by Robert DeVore,58,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",127,Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,h1:Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt > h2:JSON Prompt > h2:How to Use It > h2:Why This Prompt Works > h2:On this page,426,en,2025-04-27,2025-04-27,Robert DeVore,false,BlogPosting; Person; WebPage,6,13,2,0,0,3,0,0,2,false,true,false,false,eff75220887a2d246e1ea896cf44eed66327621f6a071d0976216f9c3501f8be,
baseline,https://prompts.robertdevore.com/blog/prompts-coming-soon/,content/posts/prompts-coming-soon.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,Prompts Library Coming Soon | Prompts by Robert DeVore,54,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",99,Prompts: Coming Soon,h1:Prompts: Coming Soon,115,en,2025-04-07,2025-04-07,Robert DeVore,false,BlogPosting; Person; WebPage,6,13,3,0,0,1,0,0,2,false,true,false,false,d8d0770f377023967e8d39fac56795370151a5b597198cfbf27c9d66730f50fc,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,content/posts/simpsons-character-json-prompts-for-ai-generation.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,Simpsons Character JSON Prompts | Prompts by Robert DeVore,58,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,116,Simpsons Character JSON Prompts for AI Generation,h1:Simpsons Character JSON Prompts for AI Generation > h2:What You Can Do > h3:1. Simpsons Scene Creator > h3:2. Simpsons Character Generator (Full Body Edition) > h2:🎁 Download the JSON Prompts > h3:JSON Prompt for Simpsons Scene > h3:JSON Prompt for Simpsons Scene > h2:On this page,809,en,2025-04-11,2025-04-11,Robert DeVore,false,BlogPosting; Person; WebPage,6,13,2,0,0,2,0,0,2,false,true,false,false,5e0541f2136cf446a2a75a88b15201b8bf4a68771ef86ff1a6c0f67781085cb0,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,content/posts/top-secret-military-patches-json-prompt.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,200,Military Patch JSON Prompts | Prompts by Robert DeVore,54,"Generate photorealistic embroidered military patches for covert units, tactical teams, fictional programs, and morale-patch concepts.",133,Top Secret Military Patch JSON Prompts for AI-Generated Designs,h1:Top Secret Military Patch JSON Prompts for AI-Generated Designs > h2:What This Prompt Can Do > h2:Real-World Inspiration > h2:💡 Customization Built In > h2:🧷 Tactical Use Ideas > h2:📦 CODE BLOCK > h2:Example Output > h2:On this page,968,en,2025-05-13,2025-05-13,Robert DeVore,false,BlogPosting; Person; WebPage,6,13,2,0,0,5,0,0,2,false,true,false,false,5f2908ed3b4446487208ee386de376db47fd988cb5733c74edcdb32bfcfde40c,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,content/posts/youtube-thumbnail-generation-with-ai-json-prompts.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,200,YouTube Thumbnail JSON Prompts | Prompts by Robert DeVore,57,"Generate bold YouTube thumbnails from a title, optional subhead, and photo with one structured JSON prompt.",107,YouTube Thumbnail Generation with AI JSON Prompts,h1:YouTube Thumbnail Generation with AI JSON Prompts > h2:How it Works > h2:Real Example > h2:Why This Works > h2:Who This Is For > h2:Want to Try It? > h2:On this page,1000,en,2025-04-22,2025-04-22,Robert DeVore,false,BlogPosting; Person; WebPage,6,13,2,0,0,3,0,0,2,false,true,false,false,f31b1d6d7c4ef344c28dbf97bb46a529d6ef1ae197ea264a5be7c5b9a6f0cfc7,
baseline,https://prompts.robertdevore.com/,templates/page-home.html,home,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/,200,Prompts by Robert DeVore,24,"Explore a growing library of high-quality AI prompts for content creation, design, coding, marketing, and more.",111,Prompts built for making.,h1:Prompts built for making. > h2:Latest prompts > h2:Glowing Neon Icons: Design Bold Icons with This JSON Prompt > h2:Isometric 3D Icon JSON Prompt for AI-Generated Designs > h2:Top Secret Military Patch JSON Prompts for AI-Generated Designs > h2:Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt > h2:YouTube Thumbnail Generation with AI JSON Prompts > h2:Simpsons Character JSON Prompts for AI Generation,326,en,,,Robert DeVore,false,Person; WebSite,2,34,2,0,0,6,0,0,0,false,true,false,false,bffa35c513c0f33f72a93dec561c62bf9cf69fe0aaf1e9ac5b38d9e76ea0e53f,
