phase,url,title,title_length,description,description_length,canonical,robots,h1_count,og_title,og_description,og_image,issues
baseline,https://prompts.robertdevore.com/about/,About the Prompt Library | Prompts by Robert DeVore,51,A practical library of reusable prompts for creative and professional work with AI.,83,https://prompts.robertdevore.com/about/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,About the Prompt Library,A practical library of reusable prompts for creative and professional work with AI.,https://prompts.robertdevore.com/images/about-social-3c6fabe97ffe.webp,
baseline,https://prompts.robertdevore.com/business/,Business AI Prompts | Prompts by Robert DeVore,46,"Prompts for strategy, operations, planning, analysis, and everyday business work.",81,https://prompts.robertdevore.com/business/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Business AI Prompts,"Prompts for strategy, operations, planning, analysis, and everyday business work.",https://prompts.robertdevore.com/images/business-social-8d5e6574a94a.webp,
baseline,https://prompts.robertdevore.com/coding/,Coding AI Prompts | Prompts by Robert DeVore,44,"Prompts for software design, implementation, debugging, review, and documentation.",82,https://prompts.robertdevore.com/coding/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Coding AI Prompts,"Prompts for software design, implementation, debugging, review, and documentation.",https://prompts.robertdevore.com/images/coding-social-f459df65ea08.webp,
baseline,https://prompts.robertdevore.com/contact/,Contact Robert DeVore | Prompts by Robert DeVore,48,"Questions, feedback, or support for the Prompts library.",56,https://prompts.robertdevore.com/contact/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Contact Robert DeVore,"Questions, feedback, or support for the Prompts library.",https://prompts.robertdevore.com/images/contact-social-820e1979fce3.webp,
baseline,https://prompts.robertdevore.com/images/,AI Image Generation Prompts | Prompts by Robert DeVore,54,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",96,https://prompts.robertdevore.com/images/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,AI Image Generation Prompts,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",https://prompts.robertdevore.com/images/images-social-55c4ace9f1a5.webp,
baseline,https://prompts.robertdevore.com/marketing/,Marketing AI Prompts | Prompts by Robert DeVore,47,"Prompts for campaigns, positioning, content, audience research, and growth.",75,https://prompts.robertdevore.com/marketing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Marketing AI Prompts,"Prompts for campaigns, positioning, content, audience research, and growth.",https://prompts.robertdevore.com/images/marketing-social-6c79998a7a56.webp,
baseline,https://prompts.robertdevore.com/writing/,Writing AI Prompts | Prompts by Robert DeVore,45,"Prompts for drafting, editing, storytelling, research, and clearer communication.",81,https://prompts.robertdevore.com/writing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Writing AI Prompts,"Prompts for drafting, editing, storytelling, research, and clearer communication.",https://prompts.robertdevore.com/images/writing-social-f256166abb39.webp,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,Glowing Neon Icons JSON Prompt | Prompts by Robert DeVore,57,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",111,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Glowing Neon Icons JSON Prompt,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",https://prompts.robertdevore.com/images/glowing-neon-icon-json-prompt-social-c708b178d7fd.webp,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,Isometric 3D Icon JSON Prompt | Prompts by Robert DeVore,56,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",118,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Isometric 3D Icon JSON Prompt,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",https://prompts.robertdevore.com/images/isometric-3d-icon-json-prompt-for-ai-generated-designs-social-509154a2c6c9.webp,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,Metallic Sci-Fi HUD JSON Prompt | Prompts by Robert DeVore,58,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",127,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,Metallic Sci-Fi HUD JSON Prompt,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",https://prompts.robertdevore.com/images/metallic-sci-fi-hud-social-48271c4de1e5.webp,
