phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://prompts.robertdevore.com/about/,content/pages/about.md,AboutPage,A practical library of reusable prompts for creative and professional work with AI.,navigational/informational,People seeking reusable AI prompts,About,About the Prompt Library,"Robert DeVore, AI prompt library, reusable AI prompts, prompt engineering",About,h1>h2>h2>h2,162,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/business/,content/pages/business.md,CollectionPage,"Prompts for strategy, operations, planning, analysis, and everyday business work.",browse,People seeking reusable AI prompts,Business Prompts,Business AI Prompts,"business AI prompts, strategy prompts, operations prompts, planning prompts, business analysis",Business Prompts,h1,62,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/coding/,content/pages/coding.md,CollectionPage,"Prompts for software design, implementation, debugging, review, and documentation.",browse,People seeking reusable AI prompts,Coding Prompts,Coding AI Prompts,"coding AI prompts, software development prompts, debugging prompts, code review prompts, documentation prompts",Coding Prompts,h1,61,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/contact/,content/pages/contact.md,ContactPage,"Questions, feedback, or support for the Prompts library.",navigational/informational,People seeking reusable AI prompts,Contact,Contact Robert DeVore,"contact Robert DeVore, prompt library support, AI prompt questions",Contact,h1>h2>h3>h3>h2,115,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/images/,content/pages/images.md,CollectionPage,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",browse,People seeking reusable AI prompts,Image Prompts,AI Image Generation Prompts,"AI image prompts, image generation prompts, JSON image prompts, icon prompts, character prompts, design prompts",Image Prompts,h1,103,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/marketing/,content/pages/marketing.md,CollectionPage,"Prompts for campaigns, positioning, content, audience research, and growth.",browse,People seeking reusable AI prompts,Marketing Prompts,Marketing AI Prompts,"marketing AI prompts, campaign prompts, positioning prompts, content marketing prompts, audience research",Marketing Prompts,h1,61,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/writing/,content/pages/writing.md,CollectionPage,"Prompts for drafting, editing, storytelling, research, and clearer communication.",browse,People seeking reusable AI prompts,Writing Prompts,Writing AI Prompts,"writing AI prompts, editing prompts, storytelling prompts, research prompts, communication prompts",Writing Prompts,h1,61,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,content/posts/glowing-neon-icon-json-prompt.md,BlogPosting,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",informational/how-to,People seeking reusable AI prompts,Glowing Neon Icons: Design Bold Icons with This JSON Prompt,Glowing Neon Icons JSON Prompt,"glowing neon icons, JSON prompt, AI image prompt, 3D icons, futuristic icon design",Glowing Neon Icons: Design Bold Icons with This JSON Prompt,h1>h2>h2>h2>h2,843,2025-05-19,2025-05-19,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,content/posts/isometric-3d-icon-json-prompt-for-ai-generated-designs.md,BlogPosting,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",informational/how-to,People seeking reusable AI prompts,Isometric 3D Icon JSON Prompt for AI-Generated Designs,Isometric 3D Icon JSON Prompt,"isometric 3D icons, JSON prompt, AI image generation, 3D icon prompt, product icon design",Isometric 3D Icon JSON Prompt for AI-Generated Designs,h1>h2>h2>h2>h2>h2>h2>h2>h2,869,2025-05-15,2025-05-15,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,content/posts/metallic-sci-fi-hud.md,BlogPosting,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",informational/how-to,People seeking reusable AI prompts,Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,Metallic Sci-Fi HUD JSON Prompt,"sci-fi HUD prompt, metallic icon prompt, JSON image prompt, futuristic icons, AI image generation",Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,h1>h2>h2>h2>h2,445,2025-04-27,2025-04-27,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,content/posts/prompts-coming-soon.md,BlogPosting,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",informational/how-to,People seeking reusable AI prompts,Prompts: Coming Soon,Prompts Library Coming Soon,"AI prompt library, reusable prompts, prompt engineering, Robert DeVore prompts",Prompts: Coming Soon,h1,154,2025-04-07,2025-04-07,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,content/posts/simpsons-character-json-prompts-for-ai-generation.md,BlogPosting,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,informational/how-to,People seeking reusable AI prompts,Simpsons Character JSON Prompts for AI Generation,Simpsons Character JSON Prompts,"Simpsons character prompt, JSON image prompt, AI character generation, cartoon character prompt, photo transformation",Simpsons Character JSON Prompts for AI Generation,h1>h2>h3>h3>h2>h3>h3>h2,785,2025-04-11,2025-04-11,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,content/posts/top-secret-military-patches-json-prompt.md,BlogPosting,"Generate photorealistic embroidered military patches for covert units, tactical teams, fictional programs, and morale-patch concepts.",informational/how-to,People seeking reusable AI prompts,Top Secret Military Patch JSON Prompts for AI-Generated Designs,Military Patch JSON Prompts,"military patch prompt, embroidered patch prompt, JSON image prompt, tactical patch design, AI image generation",Top Secret Military Patch JSON Prompts for AI-Generated Designs,h1>h2>h2>h2>h2>h2>h2>h2,957,2025-05-13,2025-05-13,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/wwf-action-figure-blister-pack-json-prompt/,content/posts/wwf-action-figure-blister-pack-json-prompt.md,BlogPosting,Turn a supplied photo into a vintage 1980s or 1990s WWF-style action figure displayed in a detailed blister pack.,informational/how-to,People seeking reusable AI prompts,WWF Action Figure Blister Pack JSON Prompt,WWF Action Figure JSON Prompt,"WWF action figure prompt, blister pack prompt, JSON image prompt, vintage wrestling toy, AI image generation",WWF Action Figure Blister Pack JSON Prompt,h1,556,2025-04-09,2025-04-09,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,content/posts/youtube-thumbnail-generation-with-ai-json-prompts.md,BlogPosting,"Generate bold YouTube thumbnails from a title, optional subhead, and photo with one structured JSON prompt.",informational/how-to,People seeking reusable AI prompts,YouTube Thumbnail Generation with AI JSON Prompts,YouTube Thumbnail JSON Prompts,"YouTube thumbnail prompt, JSON image prompt, AI thumbnail generator, thumbnail design, content creator prompts",YouTube Thumbnail Generation with AI JSON Prompts,h1>h2>h2>h2>h2>h2>h2,936,2025-04-22,2025-04-22,Author-created prompt and examples,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/,templates/page-home.html,WebSite,"Explore a growing library of high-quality AI prompts for content creation, design, coding, marketing, and more.",navigational/informational,People seeking reusable AI prompts,AI prompt library,Prompts by Robert DeVore,"AI prompts, image generation prompts, writing prompts, business prompts, marketing prompts, coding prompts",Prompts built for making.,h1>h2>h2>h2>h2>h2>h2>h2,368,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
after,https://prompts.robertdevore.com/blog/,templates/page-blog.html,CollectionPage,"Browse reusable AI prompts with complete JSON structures, examples, and practical notes for image generation, design, and creative work.",browse,People seeking reusable AI prompts,Blog,Blog,"AI prompts, image generation prompts, writing prompts, business prompts, marketing prompts, coding prompts",Blog,h1>h2>h2>h2>h2>h2>h2,333,,,Site-authored overview,See issues.csv and recommendations.md,,Preserve factual voice; improve only verified gaps
