phase,url,source_file,page_type,title,title_length,meta_description,description_length,canonical,robots_directives,lang,author,og_title,og_description,og_url,og_type,og_image,twitter_card,duplicate_title,duplicate_description,issues
after,https://prompts.robertdevore.com/about/,content/pages/about.md,AboutPage,About the Prompt Library | Prompts by Robert DeVore,51,A practical library of reusable prompts for creative and professional work with AI.,83,https://prompts.robertdevore.com/about/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,About the Prompt Library,A practical library of reusable prompts for creative and professional work with AI.,https://prompts.robertdevore.com/about/,website,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/business/,content/pages/business.md,CollectionPage,Business AI Prompts | Prompts by Robert DeVore,46,"Prompts for strategy, operations, planning, analysis, and everyday business work.",81,https://prompts.robertdevore.com/business/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Business AI Prompts,"Prompts for strategy, operations, planning, analysis, and everyday business work.",https://prompts.robertdevore.com/business/,website,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/coding/,content/pages/coding.md,CollectionPage,Coding AI Prompts | Prompts by Robert DeVore,44,"Prompts for software design, implementation, debugging, review, and documentation.",82,https://prompts.robertdevore.com/coding/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Coding AI Prompts,"Prompts for software design, implementation, debugging, review, and documentation.",https://prompts.robertdevore.com/coding/,website,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/contact/,content/pages/contact.md,ContactPage,Contact Robert DeVore | Prompts by Robert DeVore,48,"Questions, feedback, or support for the Prompts library.",56,https://prompts.robertdevore.com/contact/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Contact Robert DeVore,"Questions, feedback, or support for the Prompts library.",https://prompts.robertdevore.com/contact/,website,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/images/,content/pages/images.md,CollectionPage,AI Image Generation Prompts | Prompts by Robert DeVore,54,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",96,https://prompts.robertdevore.com/images/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,AI Image Generation Prompts,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",https://prompts.robertdevore.com/images/,website,https://prompts.robertdevore.com/images/isometric-3d-icons-7966d482c18d.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/marketing/,content/pages/marketing.md,CollectionPage,Marketing AI Prompts | Prompts by Robert DeVore,47,"Prompts for campaigns, positioning, content, audience research, and growth.",75,https://prompts.robertdevore.com/marketing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Marketing AI Prompts,"Prompts for campaigns, positioning, content, audience research, and growth.",https://prompts.robertdevore.com/marketing/,website,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/writing/,content/pages/writing.md,CollectionPage,Writing AI Prompts | Prompts by Robert DeVore,45,"Prompts for drafting, editing, storytelling, research, and clearer communication.",81,https://prompts.robertdevore.com/writing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Writing AI Prompts,"Prompts for drafting, editing, storytelling, research, and clearer communication.",https://prompts.robertdevore.com/writing/,website,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,content/posts/glowing-neon-icon-json-prompt.md,BlogPosting,Glowing Neon Icons JSON Prompt | Prompts by Robert DeVore,57,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",111,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Glowing Neon Icons JSON Prompt,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,article,https://prompts.robertdevore.com/images/glowing-3d-icons-5d4610cb0e6a.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,content/posts/isometric-3d-icon-json-prompt-for-ai-generated-designs.md,BlogPosting,Isometric 3D Icon JSON Prompt | Prompts by Robert DeVore,56,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",118,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Isometric 3D Icon JSON Prompt,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,article,https://prompts.robertdevore.com/images/isometric-3d-icons-7966d482c18d.webp,summary_large_image,no,no,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,content/posts/metallic-sci-fi-hud.md,BlogPosting,Metallic Sci-Fi HUD JSON Prompt | Prompts by Robert DeVore,58,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",127,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,Robert DeVore,Metallic Sci-Fi HUD JSON Prompt,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,article,https://prompts.robertdevore.com/images/metallic-sci-fi-hud-demon-3afc8265657b.webp,summary_large_image,no,no,
