phase,page_url,image_url,alt,width,height,loading,format,bytes,exists,issues
baseline,https://prompts.robertdevore.com/about/,https://prompts.robertdevore.com/images/about-7aa1e58894cb.webp,Featured image for About,1672,941,lazy,webp,361546,true,
baseline,https://prompts.robertdevore.com/business/,https://prompts.robertdevore.com/images/business-f75541baee45.webp,Featured image for Business Prompts,1672,941,lazy,webp,292974,true,
baseline,https://prompts.robertdevore.com/coding/,https://prompts.robertdevore.com/images/coding-261b64eb3457.webp,Featured image for Coding Prompts,1672,941,lazy,webp,266408,true,
baseline,https://prompts.robertdevore.com/contact/,https://prompts.robertdevore.com/images/contact-a0e288c92ac6.webp,Featured image for Contact,1672,941,lazy,webp,202610,true,
baseline,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/images/images-2c42abfbb7fc.webp,Featured image for Image Prompts,1672,941,lazy,webp,295966,true,
baseline,https://prompts.robertdevore.com/marketing/,https://prompts.robertdevore.com/images/marketing-89a4e7c7447c.webp,Featured image for Marketing Prompts,1672,941,lazy,webp,308832,true,
baseline,https://prompts.robertdevore.com/writing/,https://prompts.robertdevore.com/images/writing-8a45e3e785a6.webp,Featured image for Writing Prompts,1672,941,lazy,webp,237196,true,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,https://prompts.robertdevore.com/assets/images/glowing-3d-icons.webp,Glowing Neon Icon Example,1024,1024,,webp,42922,true,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,Isometric 3D icon Designs,2044,1024,,webp,69352,true,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-demon.webp,Cyber Demon,1024,1024,,webp,67318,true,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-wolf.webp,Tech Wolf,1024,1024,,webp,64742,true,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-lion.webp,Tech Lion,1024,1024,,webp,81840,true,
baseline,https://prompts.robertdevore.com/blog/prompts-coming-soon/,https://prompts.robertdevore.com/assets/images/ascii-grunge/prompts-coming-soon.webp,An ASCII-grunge archive opening into a library of prompt cards,1672,941,,webp,363458,true,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,https://prompts.robertdevore.com/assets/images/simpsons-wwf-scene.webp,WWF Simpsons Scene,1536,1024,,webp,139468,true,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,https://prompts.robertdevore.com/assets/images/simpsons-wwf-robert-devore.webp,WWF Robert DeVore,1024,1536,,webp,67320,true,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-wolf-pack.webp,Wolf Pack patch,1024,1024,,webp,377238,true,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-1.webp,Patch 1,1024,1024,,webp,266758,true,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-2.webp,Patch 2,1024,1024,,webp,281820,true,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-3.webp,Patch 3,1024,1024,,webp,208040,true,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-4.webp,Patch 4,1024,1024,,webp,229160,true,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-with-json-prompts.webp,YouTube Thumbnails with JSON Prompts,1536,1024,,webp,226948,true,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-extreme-leadership.webp,YouTube Thumbnails with JSON Prompts Extreme Leadership Example,1536,1024,,webp,158886,true,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-10k.webp,YouTube Thumbnails with JSON Prompts 10K Example,1536,1024,,webp,164856,true,
baseline,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/glowing-3d-icons-5d4610cb0e6a.webp,Featured image for Glowing Neon Icons: Design Bold Icons with This JSON Prompt,1024,1024,lazy,webp,42922,true,
baseline,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/isometric-3d-icons-7966d482c18d.webp,Featured image for Isometric 3D Icon JSON Prompt for AI-Generated Designs,2044,1024,lazy,webp,69352,true,
baseline,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/patch-wolf-pack-cdfba07eb89a.webp,Featured image for Top Secret Military Patch JSON Prompts for AI-Generated Designs,1024,1024,lazy,webp,377238,true,
baseline,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/metallic-sci-fi-hud-demon-3afc8265657b.webp,Featured image for Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,1024,1024,lazy,webp,67318,true,
baseline,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/youtube-thumbnails-with-json-prompts-1921a251e9c8.webp,Featured image for YouTube Thumbnail Generation with AI JSON Prompts,1536,1024,lazy,webp,226948,true,
baseline,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/simpsons-wwf-scene-0525b8215013.webp,Featured image for Simpsons Character JSON Prompts for AI Generation,1536,1024,lazy,webp,139468,true,
baseline,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/glowing-3d-icons-5d4610cb0e6a.webp,Featured image for Glowing Neon Icons: Design Bold Icons with This JSON Prompt,1024,1024,lazy,webp,42922,true,
baseline,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/isometric-3d-icons-7966d482c18d.webp,Featured image for Isometric 3D Icon JSON Prompt for AI-Generated Designs,2044,1024,lazy,webp,69352,true,
baseline,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/patch-wolf-pack-cdfba07eb89a.webp,Featured image for Top Secret Military Patch JSON Prompts for AI-Generated Designs,1024,1024,lazy,webp,377238,true,
baseline,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/metallic-sci-fi-hud-demon-3afc8265657b.webp,Featured image for Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,1024,1024,lazy,webp,67318,true,
baseline,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/youtube-thumbnails-with-json-prompts-1921a251e9c8.webp,Featured image for YouTube Thumbnail Generation with AI JSON Prompts,1536,1024,lazy,webp,226948,true,
baseline,https://prompts.robertdevore.com/blog/,https://prompts.robertdevore.com/images/simpsons-wwf-scene-0525b8215013.webp,Featured image for Simpsons Character JSON Prompts for AI Generation,1536,1024,lazy,webp,139468,true,
baseline,https://prompts.robertdevore.com/page/2/,https://prompts.robertdevore.com/images/prompts-coming-soon-f45eaa7e7dfc.webp,Featured image for Prompts: Coming Soon,1672,941,lazy,webp,363458,true,
baseline,https://prompts.robertdevore.com/blog/page/2/,https://prompts.robertdevore.com/images/prompts-coming-soon-f45eaa7e7dfc.webp,Featured image for Prompts: Coming Soon,1672,941,lazy,webp,363458,true,
after,https://prompts.robertdevore.com/about/,https://prompts.robertdevore.com/images/about-7aa1e58894cb.webp,Featured image for About,1672,941,lazy,webp,361546,true,
after,https://prompts.robertdevore.com/business/,https://prompts.robertdevore.com/images/business-f75541baee45.webp,Featured image for Business Prompts,1672,941,lazy,webp,292974,true,
after,https://prompts.robertdevore.com/business/,https://prompts.robertdevore.com/assets/images/ascii-grunge/brutally-honest-product-diagnostic.webp,Featured image for Brutally Honest Company and Product Diagnostic Prompt,1672,941,lazy,webp,299058,true,
after,https://prompts.robertdevore.com/coding/,https://prompts.robertdevore.com/images/coding-261b64eb3457.webp,Featured image for Coding Prompts,1672,941,lazy,webp,266408,true,
after,https://prompts.robertdevore.com/coding/,https://prompts.robertdevore.com/assets/images/ascii-grunge/dependabot-security-maintenance.webp,Featured image for Autonomous Dependabot Security Maintenance Agent Prompt,1672,941,lazy,webp,220290,true,
after,https://prompts.robertdevore.com/contact/,https://prompts.robertdevore.com/images/contact-a0e288c92ac6.webp,Featured image for Contact,1672,941,lazy,webp,202610,true,
after,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/images/images-2c42abfbb7fc.webp,Featured image for Image Prompts,1672,941,lazy,webp,295966,true,
after,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/assets/images/glowing-3d-icons.webp,Featured image for Glowing Neon Icons: Design Bold Icons with This JSON Prompt,1024,1024,lazy,webp,42922,true,
after,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,Featured image for Isometric 3D Icon JSON Prompt for AI-Generated Designs,2044,1024,lazy,webp,69352,true,
after,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-demon.webp,Featured image for Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,1024,1024,lazy,webp,67318,true,
after,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/assets/images/simpsons-wwf-scene.webp,Featured image for Simpsons Character JSON Prompts for AI Generation,1536,1024,lazy,webp,139468,true,
after,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/assets/images/patch-wolf-pack.webp,Featured image for Top Secret Military Patch JSON Prompts for AI-Generated Designs,1024,1024,lazy,webp,377238,true,
after,https://prompts.robertdevore.com/images/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-with-json-prompts.webp,Featured image for YouTube Thumbnail Generation with AI JSON Prompts,1536,1024,lazy,webp,226948,true,
after,https://prompts.robertdevore.com/marketing/,https://prompts.robertdevore.com/images/marketing-89a4e7c7447c.webp,Featured image for Marketing Prompts,1672,941,lazy,webp,308832,true,
after,https://prompts.robertdevore.com/marketing/,https://prompts.robertdevore.com/assets/images/ascii-grunge/keyword-competitor-analysis.webp,Featured image for Keyword and Competitor Content Analysis Prompt,1672,941,lazy,webp,242600,true,
after,https://prompts.robertdevore.com/writing/,https://prompts.robertdevore.com/images/writing-8a45e3e785a6.webp,Featured image for Writing Prompts,1672,941,lazy,webp,237196,true,
after,https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,https://prompts.robertdevore.com/assets/images/ascii-grunge/brutally-honest-product-diagnostic.webp,An ASCII-grunge product machine opened for strategic inspection,1672,941,,webp,299058,true,
