phase,url,schema_types,parse_valid,visible_content_aligned,rich_result_eligibility,issues
baseline,https://prompts.robertdevore.com/about/,AboutPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/business/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/coding/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/contact/,ContactPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/images/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/marketing/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/writing/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/prompts-coming-soon/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/,Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/page/2/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
baseline,https://prompts.robertdevore.com/blog/page/2/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/about/,AboutPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/business/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/coding/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/contact/,ContactPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/images/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/marketing/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/writing/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,BlogPosting; Person; WebPage,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/,Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/page/2/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
after,https://prompts.robertdevore.com/blog/page/2/,CollectionPage; Person; WebSite,true,manual review passed,Article types eligible where applicable; no guarantee,
