phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://prompts.robertdevore.com/about/,About the Prompt Library,About,navigational/informational,About the Prompt Library,"Robert DeVore, AI prompt library, reusable AI prompts, prompt engineering",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/business/,Business AI Prompts,Business Prompts,browse,Business AI Prompts,"business AI prompts, strategy prompts, operations prompts, planning prompts, business analysis",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/coding/,Coding AI Prompts,Coding Prompts,browse,Coding AI Prompts,"coding AI prompts, software development prompts, debugging prompts, code review prompts, documentation prompts",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/contact/,Contact Robert DeVore,Contact,navigational/informational,Contact Robert DeVore,"contact Robert DeVore, prompt library support, AI prompt questions",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/images/,AI Image Generation Prompts,Image Prompts,browse,AI Image Generation Prompts,"AI image prompts, image generation prompts, JSON image prompts, icon prompts, character prompts, design prompts",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/marketing/,Marketing AI Prompts,Marketing Prompts,browse,Marketing AI Prompts,"marketing AI prompts, campaign prompts, positioning prompts, content marketing prompts, audience research",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/writing/,Writing AI Prompts,Writing Prompts,browse,Writing AI Prompts,"writing AI prompts, editing prompts, storytelling prompts, research prompts, communication prompts",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,Glowing Neon Icons JSON Prompt,Glowing Neon Icons: Design Bold Icons with This JSON Prompt,informational/how-to,Glowing Neon Icons JSON Prompt,"glowing neon icons, JSON prompt, AI image prompt, 3D icons, futuristic icon design",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,Isometric 3D Icon JSON Prompt,Isometric 3D Icon JSON Prompt for AI-Generated Designs,informational/how-to,Isometric 3D Icon JSON Prompt,"isometric 3D icons, JSON prompt, AI image generation, 3D icon prompt, product icon design",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,Metallic Sci-Fi HUD JSON Prompt,Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,informational/how-to,Metallic Sci-Fi HUD JSON Prompt,"sci-fi HUD prompt, metallic icon prompt, JSON image prompt, futuristic icons, AI image generation",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,Prompts Library Coming Soon,Prompts: Coming Soon,informational/how-to,Prompts Library Coming Soon,"AI prompt library, reusable prompts, prompt engineering, Robert DeVore prompts",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,Simpsons Character JSON Prompts,Simpsons Character JSON Prompts for AI Generation,informational/how-to,Simpsons Character JSON Prompts,"Simpsons character prompt, JSON image prompt, AI character generation, cartoon character prompt, photo transformation",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,Military Patch JSON Prompts,Top Secret Military Patch JSON Prompts for AI-Generated Designs,informational/how-to,Military Patch JSON Prompts,"military patch prompt, embroidered patch prompt, JSON image prompt, tactical patch design, AI image generation",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/wwf-action-figure-blister-pack-json-prompt/,WWF Action Figure JSON Prompt,WWF Action Figure Blister Pack JSON Prompt,informational/how-to,WWF Action Figure JSON Prompt,"WWF action figure prompt, blister pack prompt, JSON image prompt, vintage wrestling toy, AI image generation",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,YouTube Thumbnail JSON Prompts,YouTube Thumbnail Generation with AI JSON Prompts,informational/how-to,YouTube Thumbnail JSON Prompts,"YouTube thumbnail prompt, JSON image prompt, AI thumbnail generator, thumbnail design, content creator prompts",AI image generation; JSON prompts,How do I use this prompt?; What can this prompt create?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/,Prompts by Robert DeVore,AI prompt library,navigational/informational,Prompts by Robert DeVore,"AI prompts, image generation prompts, writing prompts, business prompts, marketing prompts, coding prompts",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/,Blog,Blog,browse,Blog,"AI prompts, image generation prompts, writing prompts, business prompts, marketing prompts, coding prompts",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/page/2/,Prompt Library Page 2,Prompts built for making.,browse,Prompt Library Page 2,"AI prompts, image generation prompts, writing prompts, business prompts, marketing prompts, coding prompts",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
after,https://prompts.robertdevore.com/blog/page/2/,Blog Page 2,Blog,browse,Blog Page 2,"AI prompts, image generation prompts, writing prompts, business prompts, marketing prompts, coding prompts",Robert DeVore; prompt library,What prompts are available?,,No measured query data available,Validate against Search Console before editorial targeting
