phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://prompts.robertdevore.com/about/,content/pages/about.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/about/,200,About the Prompt Library | Prompts by Robert DeVore,51,A practical library of reusable prompts for creative and professional work with AI.,83,About,h1:About > h2:A Better Home for Useful Prompts > h2:What You'll Find Here > h2:On this page,116,en,,,Robert DeVore,false,AboutPage; Person; WebSite,42,20,2,0,0,1,0,0,1,false,true,false,false,b1c078063098b47a3a408cd6c9be42200f4587e880e3d6be1029433699c69854,
after,https://prompts.robertdevore.com/business/,content/pages/business.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/business/,200,Business AI Prompts | Prompts by Robert DeVore,46,"Prompts for strategy, operations, planning, analysis, and everyday business work.",81,Business Prompts,h1:Business Prompts > h2:Brutally Honest Company and Product Diagnostic Prompt,50,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,42,21,2,0,0,2,0,0,1,false,true,false,false,e3487eec4ca915280375496dc6f1d6411a90228578e403fbe0c575c84ebb5bf3,
after,https://prompts.robertdevore.com/coding/,content/pages/coding.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/coding/,200,Coding AI Prompts | Prompts by Robert DeVore,44,"Prompts for software design, implementation, debugging, review, and documentation.",82,Coding Prompts,h1:Coding Prompts > h2:Autonomous Dependabot Security Maintenance Agent Prompt,43,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,42,21,2,0,0,2,0,0,1,false,true,false,false,1888006e1815d8e670bc1267823efbd4443e4146d4327029b5f1cb7e3ce9e963,
after,https://prompts.robertdevore.com/contact/,content/pages/contact.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/contact/,200,Contact Robert DeVore | Prompts by Robert DeVore,48,"Questions, feedback, or support for the Prompts library.",56,Contact,h1:Contact > h2:Get in Touch > h3:Direct Email > h3:Let's connect > h2:On this page,70,en,,,Robert DeVore,false,ContactPage; Person; WebSite,45,18,3,0,0,1,0,0,1,false,true,false,false,f05fae91f1fb009f4c76a61f49738c66103c442ef790635eb392e10a48c142ac,
after,https://prompts.robertdevore.com/images/,content/pages/images.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/images/,200,AI Image Generation Prompts | Prompts by Robert DeVore,54,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",96,Image Prompts,h1:Image Prompts > h2:Glowing Neon Icons: Design Bold Icons with This JSON Prompt > h2:Isometric 3D Icon JSON Prompt for AI-Generated Designs > h2:Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt > h2:Simpsons Character JSON Prompts for AI Generation > h2:Top Secret Military Patch JSON Prompts for AI-Generated Designs > h2:YouTube Thumbnail Generation with AI JSON Prompts,200,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,42,36,2,0,0,7,0,0,1,false,true,false,false,6e3bc3f7b70df918736b4b59b7079a2f0711b5b4f56ff9a68f46a1549bc887c0,
after,https://prompts.robertdevore.com/marketing/,content/pages/marketing.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/marketing/,200,Marketing AI Prompts | Prompts by Robert DeVore,47,"Prompts for campaigns, positioning, content, audience research, and growth.",75,Marketing Prompts,h1:Marketing Prompts > h2:Keyword and Competitor Content Analysis Prompt,47,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,42,21,2,0,0,2,0,0,1,false,true,false,false,e08de26a0bceb86f69807bf1a634df976c160efb7e00194ce9e1707baa5e5b95,
after,https://prompts.robertdevore.com/writing/,content/pages/writing.md,page,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/writing/,200,Writing AI Prompts | Prompts by Robert DeVore,45,"Prompts for drafting, editing, storytelling, research, and clearer communication.",81,Writing Prompts,h1:Writing Prompts,22,en,,,Robert DeVore,false,CollectionPage; Person; WebSite,42,18,2,0,0,1,0,0,1,false,true,false,false,522b44a3924ca10ba453ce9377e18182cc361f03f9b09fcdef8ef2cd7585b3e4,
after,https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,content/posts/brutally-honest-company-product-diagnostic.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,200,Honest Company Diagnostic Prompt | Prompts by Robert DeVore,59,"Pressure-test a company or product with a candid analysis of its strengths, weaknesses, moat, wasted effort, and highest-leverage opportunities.",144,Brutally Honest Company and Product Diagnostic Prompt,h1:Brutally Honest Company and Product Diagnostic Prompt > h2:Prompt > h2:Best Results > h2:On this page,202,en,2026-09-16,2026-09-16,Robert DeVore,false,BlogPosting; Person; WebPage,9,18,2,0,0,1,0,0,2,false,true,false,false,091f2d44e9dc6a4037e39b3804ff7eb1bbe1c35c338c1f3f7c8d4c8ed634f355,
after,https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,content/posts/dependabot-security-maintenance-agent.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,200,Dependabot Security Agent Prompt | Prompts by Robert DeVore,59,"Run a conservative, repository-by-repository workflow for investigating, fixing, validating, delivering, and reporting GitHub Dependabot security alerts.",153,Autonomous Dependabot Security Maintenance Agent Prompt,h1:Autonomous Dependabot Security Maintenance Agent Prompt > h2:Prompt > h2:Safety Notes > h2:On this page,1844,en,2026-09-16,2026-09-16,Robert DeVore,false,BlogPosting; Person; WebPage,9,18,2,0,0,1,0,0,2,false,true,false,false,5e4815c175f55ea0915d79d6032f73162e7c84405eafb7a364afad880711001f,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,content/posts/glowing-neon-icon-json-prompt.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,Glowing Neon Icons JSON Prompt | Prompts by Robert DeVore,57,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",111,Glowing Neon Icons: Design Bold Icons with This JSON Prompt,h1:Glowing Neon Icons: Design Bold Icons with This JSON Prompt > h2:JSON Prompt > h2:How to Use It > h2:Why It Works > h2:On this page,858,en,2025-05-19,2025-05-19,Robert DeVore,false,BlogPosting; Person; WebPage,9,18,2,0,0,1,0,0,2,false,true,false,false,c7bd77c819b1e677d4383b7a5b24a6b505a84976e5301ed5f8e011fd124b0e74,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,content/posts/isometric-3d-icon-json-prompt-for-ai-generated-designs.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,Isometric 3D Icon JSON Prompt | Prompts by Robert DeVore,56,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",118,Isometric 3D Icon JSON Prompt for AI-Generated Designs,h1:Isometric 3D Icon JSON Prompt for AI-Generated Designs > h2:What This Prompt Can Do > h2:Real-World Subject Mapping > h2:💡 How It Works > h2:📆 Paste This JSON into Your Tool > h2:Example Icons > h2:🛶 Suggested Prompt Format > h2:📂 Save & Reuse > h2:On this page,904,en,2025-05-15,2025-05-15,Robert DeVore,false,BlogPosting; Person; WebPage,9,18,2,0,0,1,0,0,2,false,true,false,false,8b80d14a5da804bc6bc5e0945c8d1eabc04978d1b9cc8ffb50d5fdd55c7a97f3,
after,https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,content/posts/keyword-competitor-content-analysis.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,200,Keyword Competitor Analysis Prompt | Prompts by Robert DeVore,61,"Research keyword demand, competition, leading content, audience needs, market trends, and underserved content opportunities in one structured report.",149,Keyword and Competitor Content Analysis Prompt,h1:Keyword and Competitor Content Analysis Prompt > h2:Prompt > h2:Best Results > h2:On this page,367,en,2026-09-16,2026-09-16,Robert DeVore,false,BlogPosting; Person; WebPage,9,18,2,0,0,1,0,0,2,false,true,false,false,9ab2156ac86f077d941078ae24ffe51f750508cd8701af0ab74852b1bb6ca681,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,content/posts/metallic-sci-fi-hud.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,Metallic Sci-Fi HUD JSON Prompt | Prompts by Robert DeVore,58,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",127,Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,h1:Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt > h2:JSON Prompt > h2:How to Use It > h2:Why This Prompt Works > h2:On this page,426,en,2025-04-27,2025-04-27,Robert DeVore,false,BlogPosting; Person; WebPage,9,18,2,0,0,3,0,0,2,false,true,false,false,eff75220887a2d246e1ea896cf44eed66327621f6a071d0976216f9c3501f8be,
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,content/posts/prompts-coming-soon.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,Prompts Library Coming Soon | Prompts by Robert DeVore,54,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",99,Prompts: Coming Soon,h1:Prompts: Coming Soon,115,en,2025-04-07,2025-04-07,Robert DeVore,false,BlogPosting; Person; WebPage,6,18,3,0,0,1,0,0,2,false,true,false,false,d8d0770f377023967e8d39fac56795370151a5b597198cfbf27c9d66730f50fc,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,content/posts/simpsons-character-json-prompts-for-ai-generation.md,post,200,200,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,Simpsons Character JSON Prompts | Prompts by Robert DeVore,58,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,116,Simpsons Character JSON Prompts for AI Generation,h1:Simpsons Character JSON Prompts for AI Generation > h2:What You Can Do > h3:1. Simpsons Scene Creator > h3:2. Simpsons Character Generator (Full Body Edition) > h2:🎁 Download the JSON Prompts > h3:JSON Prompt for Simpsons Scene > h3:JSON Prompt for Simpsons Scene > h2:On this page,809,en,2025-04-11,2025-04-11,Robert DeVore,false,BlogPosting; Person; WebPage,9,18,2,0,0,2,0,0,2,false,true,false,false,5e0541f2136cf446a2a75a88b15201b8bf4a68771ef86ff1a6c0f67781085cb0,
