phase,url,page_type,purpose,audience,intent,primary_topic,word_count,original_examples,authorship,currentness,citation_worthiness,issues
baseline,https://prompts.robertdevore.com/about/,page,A practical library of reusable prompts for creative and professional work with AI.,AI prompt users,discover or reuse a prompt,About,116,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/business/,page,"Prompts for strategy, operations, planning, analysis, and everyday business work.",AI prompt users,discover or reuse a prompt,Business Prompts,16,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/coding/,page,"Prompts for software design, implementation, debugging, review, and documentation.",AI prompt users,discover or reuse a prompt,Coding Prompts,15,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/contact/,page,"Questions, feedback, or support for the Prompts library.",AI prompt users,discover or reuse a prompt,Contact,70,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/images/,page,"Prompts for image generation, visual concepts, icons, characters, packaging, and design systems.",AI prompt users,discover or reuse a prompt,Image Prompts,18,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/marketing/,page,"Prompts for campaigns, positioning, content, audience research, and growth.",AI prompt users,discover or reuse a prompt,Marketing Prompts,15,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/writing/,page,"Prompts for drafting, editing, storytelling, research, and clearer communication.",AI prompt users,discover or reuse a prompt,Writing Prompts,15,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,post,"Create bold, glowing 3D icons with luminous outlines, high-contrast edges, and a polished futuristic aesthetic.",AI prompt users,discover or reuse a prompt,Glowing Neon Icons: Design Bold Icons with This JSON Prompt,858,true,Robert DeVore,2025-05-19,Prompt text is the primary reusable artifact,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,post,"Generate polished isometric 3D icons with lifelike materials, realistic shadows, and high-resolution studio rendering.",AI prompt users,discover or reuse a prompt,Isometric 3D Icon JSON Prompt for AI-Generated Designs,904,true,Robert DeVore,2025-05-15,Prompt text is the primary reusable artifact,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,post,"Create intense futuristic icons with brushed metal, electric blue accents, layered geometry, and cinematic industrial lighting.",AI prompt users,discover or reuse a prompt,Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,426,true,Robert DeVore,2025-04-27,Prompt text is the primary reusable artifact,
baseline,https://prompts.robertdevore.com/blog/prompts-coming-soon/,post,"The original welcome to Robert DeVore's organized, reusable library of prompts for working with AI.",AI prompt users,discover or reuse a prompt,Prompts: Coming Soon,115,true,Robert DeVore,2025-04-07,Prompt text is the primary reusable artifact,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,post,Recreate real-world scenes or turn a photo into a full-body Simpsons-style character with two flexible JSON prompts.,AI prompt users,discover or reuse a prompt,Simpsons Character JSON Prompts for AI Generation,809,true,Robert DeVore,2025-04-11,Prompt text is the primary reusable artifact,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,post,"Generate photorealistic embroidered military patches for covert units, tactical teams, fictional programs, and morale-patch concepts.",AI prompt users,discover or reuse a prompt,Top Secret Military Patch JSON Prompts for AI-Generated Designs,968,true,Robert DeVore,2025-05-13,Prompt text is the primary reusable artifact,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,post,"Generate bold YouTube thumbnails from a title, optional subhead, and photo with one structured JSON prompt.",AI prompt users,discover or reuse a prompt,YouTube Thumbnail Generation with AI JSON Prompts,1000,true,Robert DeVore,2025-04-22,Prompt text is the primary reusable artifact,
baseline,https://prompts.robertdevore.com/,home,"Explore a growing library of high-quality AI prompts for content creation, design, coding, marketing, and more.",AI prompt users,discover or reuse a prompt,Prompts built for making.,326,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/blog/,listing,"Browse reusable AI prompts with complete JSON structures, examples, and practical notes for image generation, design, and creative work.",AI prompt users,discover or reuse a prompt,Blog,286,false,Robert DeVore,,Category/navigation utility,
baseline,https://prompts.robertdevore.com/page/2/,listing,"Browse page 2 of the AI prompt library for image generation, writing, business, marketing, coding, and more.",AI prompt users,discover or reuse a prompt,Prompts built for making.,94,false,Robert DeVore,,Category/navigation utility,
